"data_project.Education","data_project.City","data_project.Gender","data_project.EverBenched"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Female","No"
"Masters","Bangalore","Female","No"
"PHD","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"PHD","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"PHD","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Female","Yes"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","Yes"
